,train_errs,val_errs
708,28.5142857143,30.3142857143
709,28.5047619048,30.3142857143
710,28.5047619048,30.3142857143
711,28.5142857143,30.3142857143
712,28.5142857143,30.3142857143
713,28.5142857143,30.2857142857
714,28.4952380952,30.2857142857
715,28.4952380952,30.2857142857
716,28.5047619048,30.2857142857
717,28.4857142857,30.2857142857
718,28.4666666667,30.2857142857
719,28.4666666667,30.2857142857
720,28.4666666667,30.2857142857
721,28.4571428571,30.3142857143
722,28.4857142857,30.3142857143
723,28.4857142857,30.3142857143
724,28.4761904762,30.3142857143
725,28.4666666667,30.3142857143
726,28.4571428571,30.3428571429
727,28.4571428571,30.3428571429
728,28.4476190476,30.3142857143
729,28.4285714286,30.3142857143
730,28.4380952381,30.3142857143
731,28.4380952381,30.3142857143
732,28.4476190476,30.3142857143
733,28.4476190476,30.3142857143
734,28.4476190476,30.3142857143
735,28.4380952381,30.3142857143
736,28.4285714286,30.2857142857
737,28.4285714286,30.2571428571
738,28.419047619,30.2571428571
739,28.4285714286,30.2571428571
740,28.4285714286,30.2571428571
741,28.419047619,30.2571428571
742,28.4285714286,30.2857142857
743,28.4285714286,30.2857142857
744,28.4285714286,30.2857142857
745,28.4285714286,30.2571428571
746,28.4285714286,30.2571428571
747,28.419047619,30.2571428571
748,28.419047619,30.2571428571
749,28.419047619,30.2571428571
750,28.4095238095,30.2857142857
751,28.3904761905,30.2857142857
752,28.3904761905,30.2857142857
753,28.3714285714,30.2857142857
754,28.3714285714,30.2857142857
755,28.3714285714,30.3142857143
756,28.3619047619,30.3142857143
757,28.3714285714,30.3142857143
758,28.3714285714,30.3142857143
759,28.3619047619,30.3428571429
760,28.3619047619,30.3428571429
761,28.3619047619,30.3428571429
762,28.3523809524,30.3428571429
763,28.3523809524,30.3428571429
764,28.3523809524,30.3428571429
765,28.3428571429,30.3428571429
766,28.3333333333,30.3428571429
767,28.3333333333,30.3428571429
768,28.3142857143,30.3428571429
769,28.3142857143,30.3428571429
770,28.3142857143,30.3428571429
771,28.3238095238,30.3142857143
772,28.3333333333,30.3142857143
773,28.3333333333,30.3142857143
774,28.3333333333,30.3142857143
775,28.3238095238,30.3142857143
776,28.3238095238,30.3142857143
777,28.3142857143,30.3142857143
778,28.3142857143,30.3142857143
779,28.3142857143,30.3142857143
780,28.3142857143,30.2857142857
781,28.3047619048,30.2857142857
782,28.2952380952,30.2571428571
783,28.2857142857,30.2571428571
784,28.2761904762,30.2571428571
785,28.2666666667,30.2285714286
786,28.2666666667,30.2285714286
787,28.2666666667,30.2571428571
788,28.2571428571,30.2285714286
789,28.2380952381,30.2285714286
790,28.2285714286,30.2285714286
791,28.219047619,30.2
792,28.2095238095,30.2
793,28.2095238095,30.2
794,28.2,30.2
795,28.2,30.2
796,28.1904761905,30.2
