,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
51,57,B0092MG5JW,4.3,639,20,10,0,4.87,28,21,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,1.0,54.0
52,44,B00HMSU4ZE,4.4,334,8,1,0,16.32,0,15,1,0,0,0,0,0,0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0
53,56,B071JCHR7S,4.9,2405,65,75,0,28.99,17,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0
54,52,B00180DS7I,4.2,238,12,4,0,15.99,24,14,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,46.0
55,58,B00SS8F858,4.2,352,11,7,1,4.55,5,7,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
56,60,B01A09JXNK,4.2,1082,35,6,0,10.99,27,1,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,64.0
57,48,B005AYJ6EW,3.8,592,12,20,0,5.99,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,55.0
58,51,B01LQ77K76,4.4,151,14,1,0,11.99,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,44.0
59,55,B06XX7QQK7,4.7,30,4,1,0,11.9,40,1,1,0,0,0,0,0,0,0.0,0.0,5.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,62.0
60,79,B0170AFF8O,4.4,95,8,0,0,7.99,20,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,76.0
61,74,B000VT3QPQ,4.4,206,6,0,0,17.95,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,2.0,78.0
62,69,B06Y3KKCSL,5.0,207,0,0,0,14.95,25,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,1.0,65.0
63,70,B004S0ETHI,4.5,211,8,1,0,18.0,0,16,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,1.0,0.0,0.0,74.0
64,75,B01J5GC24Q,5.0,3,0,0,0,7.49,0,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0
65,71,B018UJYU2Q,4.0,301,24,3,2,23.66,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,94.0
66,72,B016NTI9RW,4.4,586,13,4,1,14.95,50,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,73.0
67,78,B01D9O1GA6,4.5,22,0,0,0,19.99,0,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,67.0
68,76,B01N25P9OH,4.4,8,0,0,0,7.99,68,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0
69,63,B06XSG786H,4.5,44,0,0,0,8.99,44,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,72.0
70,65,B00VR9YE8C,4.2,467,11,3,0,10.99,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,66.0
71,80,B002TSA90C,4.1,225,3,2,0,15.16,5,11,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93.0
72,73,B01BMT8XDI,4.3,152,6,1,0,10.99,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,68.0
73,77,B014QVV9UI,5.0,8,0,0,0,4.97,23,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,70.0
74,66,B0001TSIB8,4.7,7338,360,147,0,16.98,0,22,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,61.0
75,61,B00B7QZGI2,4.8,151,9,0,0,9.99,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,58.0
76,68,B00ADJEUAY,4.5,171,11,5,0,9.99,0,57,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0
77,67,B01MA6M627,4.7,82,6,0,0,9.02,5,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
78,64,B002LA1D9Y,4.5,374,16,1,0,14.9,12,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,71.0
79,62,B01LYFI1ST,4.8,486,14,9,0,24.99,38,1,1,0,0,0,0,0,0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,60.0
80,98,B01ESRUYB0,4.4,222,11,1425,0,13.93,76,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,98.0
81,86,B071P2RHG2,5.0,1,0,0,0,10.99,45,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0
82,96,B01BH4HN8O,4.7,219,10,4,4,24.0,31,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0
