,rank,asin,stars,reviews,answers,positive votes,negative votes,price,percent discount,number sellers,Bath-Bathing-Accessories,Gift-Sets,Hair-Care-Products,Makeup,Perfumes-Fragrances,Skin-Care-Products,Tools-Accessories,Top 10,Top 20,Top 30,Top 40,Top 50,Top 60,Top 70,Top 80,Top 90,Top 100,previous rank
291,84,B007ROCZVY,4.5,1795,20,7,2,8.45,50,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,80.0
292,94,B00GMAWI66,4.6,3886,109,15,0,9.45,5,5,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,97.0
293,85,B00DTQ07KK,4.3,1193,49,8,0,32.82,0,16,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,91.0
294,91,B00164E8TI,4.3,786,45,11,0,18.72,0,18,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93.0
295,89,B009ZPMPGI,3.8,457,36,4,0,11.59,54,49,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,84.0
296,98,B015DYFDX6,4.3,404,31,6,0,35.99,64,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0
297,88,B01MF8L77G,4.8,46,5,0,0,11.36,37,9,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0
298,95,B007EHSBZ8,4.6,241,5,0,0,18.0,25,9,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,95.0
299,96,B000NJ2218,3.9,117,3,1,0,3.48,0,6,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
300,8,B00LE99PA2,4.3,8689,219,217,0,29.2,35,16,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
301,9,B0000YUXI0,4.3,5626,112,30,0,14.99,0,26,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
302,10,B00PGQYEUK,4.4,1281,61,20,0,5.99,25,29,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
303,3,B0186U9736,4.7,2448,162,12,0,14.2,5,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
304,2,B00UYY2GUO,3.7,8494,513,56,0,18.26,5,3,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
305,20,B00OWZ0TVE,4.1,1278,31,18,0,7.39,0,2,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
306,14,B00027D0DU,4.2,339,3,0,0,4.49,25,8,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
307,7,B0182G7AQ0,4.5,173,4,0,0,8.97,0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
308,11,B01MQS7GFT,4.4,570,33,1683,0,29.99,0,3,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
309,1,B00UYY2GSQ,3.7,8494,513,56,0,16.72,5,3,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
310,18,B019EXWVQY,4.3,3172,144,262,0,34.99,0,1,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
311,6,B01AAQD2NU,4.4,2299,87,28,0,29.99,57,15,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
312,16,B000V5BXNM,4.1,774,17,2,0,0.0,0,1,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
313,12,B0058E3XJI,4.1,3501,129,9,0,13.96,0,19,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
314,5,B00HYK9RB2,4.3,664,27,4,0,3.47,61,7,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
315,15,B0031NNE56,4.2,3885,78,11,0,22.0,0,1,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
316,13,B00VKHKH8C,4.2,3892,245,74,0,12.95,0,1,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
317,19,B011QHFB4A,4.8,1014,38,14,0,11.99,5,1,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
318,4,B00H7KTEZ8,4.7,2616,58,24,0,13.16,5,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
319,17,B00PF9Q5EG,4.3,710,49,5,0,10.99,0,3,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
320,30,B00VKIJPNE,3.9,1565,71,3,0,2.38,41,26,0,0,0,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
321,25,B00FBF1904,4.4,476,28,9,0,4.0,0,12,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
322,39,B00150LT40,4.4,4658,43,23,0,5.47,45,106,0,0,0,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
323,36,B004HYRH06,4.2,802,20,2,2,6.26,5,28,0,0,0,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
324,21,B00UYY2GXG,3.7,8494,513,56,0,18.26,5,3,0,0,0,1,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
325,33,B00HVI8WYU,4.0,1078,56,23,0,5.99,0,22,0,0,0,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
326,24,B00P0Q0T28,4.1,741,31,5,0,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
327,37,B01L2N2ZTC,4.7,85,9,0,0,9.95,57,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0
328,35,B00XIQVA7U,4.8,148,9,0,1,17.99,18,1,0,0,0,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
329,34,B004BCXAM8,4.1,1165,27,6,0,9.85,0,9,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
330,38,B0080G8Q2U,3.8,413,15,8,1,22.79,0,24,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
